lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,is_bike_infringement,vehicle_speed_max,distance_min,bike_speed_max,level,real_risk
1,0,1,straight,straight,same_direction,0,0,1,0,0,0,1,20.01396,5.325965,25.7754,normal,warning
4,1,0,turn left,turn left,same_direction,0,0,0,0,0,0,0,30.01204,6.82421,21.34765,hard,warning
1,0,1,straight,stop,same_direction,0,0,0,0,0,0,0,6.494025e-05,1.501546,25.9878,hard,danger
1,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,38.00016,2.153278,30.02885,hard,warning
3,1,1,straight,straight,same_direction,0,0,0,0,0,0,0,80.00002,5.948276,32.74042,normal,warning
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,50.00094,5.068992,12.88561,hard,warning
1,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,50.00022,1.431321,16.25091,hard,danger
1,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,20.0,1.776416,42.8982,normal,danger
2,1,1,turn_right,straight,same_direction,0,0,0,1,1,1,1,20.00873,1.774709,49.06092,easy,danger
1,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,48.69501,1.895805,14.34669,hard,danger
2,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,20.00027,4.97801,35.55964,normal,warning
2,1,1,turn left,straight,from_left,0,0,0,0,0,1,1,50.00002,1.882588,14.39218,hard,danger
4,1,0,turn_right,turn left,opposite_direction,0,0,1,0,0,0,1,30.00001,5.204688,27.65883,hard,warning
1,0,1,straight,stop,from_left,1,0,0,0,1,0,1,0.0001824537,2.696534,9.826713,hard,warning
3,1,1,straight,stop,same_direction,0,0,1,0,0,1,1,4.866394,5.954673,5.450573,hard,warning
1,0,1,straight,straight,same_direction,0,0,1,0,0,0,1,20.00003,2.981555,24.58378,normal,warning
1,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,50.01444,1.898211,38.22029,normal,danger
2,0,1,straight,straight,same_direction,0,0,0,0,1,0,1,20.0005,4.420895,19.35508,hard,warning
2,1,0,turn left,stop,opposite_direction,0,0,1,0,0,0,1,28.23877,2.745162,7.860368,easy,warning
1,0,0,straight,stop,same_direction,0,0,0,0,0,0,0,0.0001085193,3.421539,29.16573,normal,warning
1,1,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,38.71568,4.412188,6.126771,normal,warning
1,0,1,straight,straight,opposite_direction,0,0,0,0,0,0,0,50.00037,2.733168,26.76102,normal,warning
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,50.00056,1.823674,30.90965,hard,danger
2,0,1,straight,straight,same_direction,0,0,0,0,0,0,0,39.67434,2.383147,11.96113,hard,warning
2,0,1,straight,straight,opposite_direction,0,0,1,0,0,0,1,20.00042,1.966433,12.41368,normal,danger
2,1,0,turn left,stop,opposite_direction,0,1,1,0,1,1,1,0.0001409091,5.408057,30.12225,normal,warning
4,1,0,turn_right,turn_right,same_direction,0,0,0,0,0,0,0,14.63237,2.264554,14.17978,hard,warning
