lanes,is_intersection,is_two_way_street,bike_maneuver,vehicle_maneuver,maneuver_direction,sidewalk_climbs,running_red_light,drive_opposite_direction,bad_roundabout,driving_between_lanes,crossings_without_priority,vehicle_speed_max,bike_speed_max,level,real_risk
1,yes,no,turn_right,stop,opposite_direction,no,no,yes,no,yes,yes,0.000118745,10.9043,hard,danger
2,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,50.0144,12.9255,normal,warning
2,yes,yes,turn_right,turn_right,same_direction,no,no,no,no,yes,no,50.0,6.23419,normal,collision
4,yes,no,turn left,turn left,same_direction,no,no,no,no,no,no,30.0004,17.7734,hard,warning
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,15.1222,18.6952,hard,warning
1,yes,yes,turn left,straight,opposite_direction,no,yes,yes,no,no,yes,0.000154079,14.9178,hard,danger
1,no,yes,straight,straight,same_direction,no,no,no,no,no,no,49.998,6.82879,easy,warning
1,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,28.0,50.3551,easy,warning
1,no,yes,reverse,straight,same_direction,no,no,no,no,no,no,50.0005,5.6176,normal,warning
3,yes,yes,stop,turn_right,same_direction,no,no,no,no,no,no,10.0395,1.99366,easy,danger
1,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,22.0,50.0361,hard,warning
4,yes,no,turn left,turn left,from_right,no,no,no,no,yes,no,25.0002,6.0223,hard,warning
1,no,yes,straight,straight,opposite_direction,no,no,no,no,no,no,19.9667,12.8893,easy,danger
1,no,yes,straight,straight,opposite_direction,no,no,yes,no,no,no,23.0002,11.7422,hard,danger
2,no,yes,straight,straight,opposite_direction,no,no,yes,no,no,no,50.0066,34.9438,hard,warning
2,no,yes,straight,straight,opposite_direction,no,no,yes,no,no,no,32.1318,37.8412,hard,warning
1,no,no,straight,stop,opposite_direction,no,no,yes,no,no,no,0.000153116,28.2056,hard,danger
3,yes,yes,straight,straight,from_left,no,no,no,no,no,yes,52.0,51.0481,normal,warning
2,no,yes,straight,stop,same_direction,no,no,no,no,no,no,0.000142301,13.5118,easy,danger
1,no,no,straight,stop,same_direction,no,yes,no,no,no,no,0.000182454,29.7802,normal,warning
2,no,yes,straight,straight,same_direction,no,no,no,no,no,no,9.26188e-05,12.3617,hard,warning
